location,total_sqft,bhk,bath,metro_dist,price
Gachibowli,1279,2,3.0,1.5,130.32
Gachibowli,1717,2,3.0,1.5,162.99
Manikonda,1867,3,3.0,4.0,123.96
Ameerpet,3764,4,4.0,0.0,280.56
Kondapur,1860,3,3.0,2.0,157.26
Manikonda,1651,2,3.0,4.0,109.24
Madhapur,2383,3,3.0,1.0,237.44
Kondapur,1635,2,2.0,2.0,140.59
Madhapur,3164,4,5.0,1.0,295.7
Kondapur,1886,3,3.0,2.0,177.07
Gachibowli,1576,2,3.0,1.5,134.12
Jubilee Hills,3593,4,4.0,2.5,635.43
Banjara Hills,2946,4,4.0,3.0,471.08
Ameerpet,1001,2,2.0,0.0,84.53
Manikonda,1004,2,2.0,4.0,63.35
Uppal,3115,4,4.0,0.1,160.88
Jubilee Hills,2869,4,4.0,2.5,543.17
Madhapur,3640,4,4.0,1.0,390.91
Gachibowli,1672,2,3.0,1.5,140.6
Ameerpet,2278,3,4.0,0.0,183.04
Uppal,2138,3,4.0,0.1,115.41
Gachibowli,922,1,1.0,1.5,86.95
Banjara Hills,3412,4,4.0,3.0,525.18
Manikonda,3798,4,4.0,4.0,241.61
Miyapur,2596,3,3.0,0.2,161.08
Banjara Hills,2316,3,4.0,3.0,320.15
Kukatpally,3303,4,4.0,0.5,239.66
Ameerpet,3867,4,4.0,0.0,281.56
Kondapur,2171,3,3.0,2.0,179.6
Uppal,2776,3,3.0,0.1,132.84
Manikonda,1132,2,3.0,4.0,80.06
Miyapur,3074,4,5.0,0.2,178.69
Uppal,841,1,2.0,0.1,65.18
Kukatpally,2632,3,3.0,0.5,165.69
Manikonda,3172,4,4.0,4.0,179.16
Madhapur,2356,3,3.0,1.0,253.38
Madhapur,937,1,2.0,1.0,92.03
Gachibowli,845,1,1.0,1.5,84.47
Kukatpally,3743,4,4.0,0.5,262.91
Kukatpally,3958,4,4.0,0.5,286.74
Kukatpally,3229,4,4.0,0.5,213.29
Kondapur,943,1,1.0,2.0,91.45
Kondapur,1635,2,2.0,2.0,150.74
Ameerpet,3416,4,5.0,0.0,257.73
Manikonda,2842,4,4.0,4.0,183.38
Miyapur,2988,4,4.0,0.2,178.76
Kondapur,2081,3,3.0,2.0,171.43
Kukatpally,3096,4,5.0,0.5,220.75
Ameerpet,3076,4,4.0,0.0,210.75
Miyapur,1076,2,3.0,0.2,80.75
Gachibowli,2882,4,4.0,1.5,232.66
Gachibowli,1925,3,3.0,1.5,160.91
Banjara Hills,3729,4,4.0,3.0,561.41
Banjara Hills,1909,3,3.0,3.0,277.31
Miyapur,3128,4,4.0,0.2,173.52
Miyapur,2584,3,3.0,0.2,153.51
Banjara Hills,2540,3,3.0,3.0,409.75
Ameerpet,3306,4,4.0,0.0,249.43
Jubilee Hills,1039,2,3.0,2.5,205.3
Kondapur,3377,4,4.0,2.0,289.08
Uppal,3126,4,4.0,0.1,162.09
Jubilee Hills,1412,2,3.0,2.5,245.29
Jubilee Hills,3238,4,4.0,2.5,591.83
Madhapur,3309,4,4.0,1.0,299.17
Madhapur,1655,2,3.0,1.0,179.82
Kukatpally,2398,3,3.0,0.5,184.33
Manikonda,1650,2,2.0,4.0,117.22
Uppal,3716,4,4.0,0.1,210.18
Madhapur,1361,2,2.0,1.0,152.6
Banjara Hills,2605,3,4.0,3.0,410.56
Madhapur,3864,4,4.0,1.0,386.35
Manikonda,1435,2,2.0,4.0,98.97
Banjara Hills,3567,4,5.0,3.0,538.25
Miyapur,1521,2,2.0,0.2,101.89
Kondapur,2930,4,5.0,2.0,250.73
Gachibowli,2001,3,3.0,1.5,181.75
Uppal,2988,4,4.0,0.1,159.45
Jubilee Hills,900,1,1.0,2.5,181.55
Kondapur,2128,3,3.0,2.0,195.19
Madhapur,1234,2,3.0,1.0,143.95
Miyapur,3616,4,4.0,0.2,205.76
Gachibowli,1215,2,2.0,1.5,129.08
Uppal,2313,3,4.0,0.1,108.86
Kukatpally,806,1,1.0,0.5,71.26
Kukatpally,2852,4,4.0,0.5,210.34
Manikonda,3173,4,4.0,4.0,218.19
Kondapur,2222,3,3.0,2.0,179.18
Uppal,3204,4,5.0,0.1,174.66
Kukatpally,1632,2,2.0,0.5,121.84
Uppal,1664,2,3.0,0.1,90.87
Kukatpally,2443,3,4.0,0.5,178.86
Kondapur,1480,2,3.0,2.0,126.27
Miyapur,2519,3,3.0,0.2,162.76
Jubilee Hills,1029,2,2.0,2.5,201.84
Uppal,2787,3,3.0,0.1,159.49
Madhapur,983,1,1.0,1.0,110.82
Jubilee Hills,1116,2,2.0,2.5,198.17
Uppal,2717,3,4.0,0.1,140.07
Uppal,2894,4,4.0,0.1,141.54
Kukatpally,3736,4,5.0,0.5,245.8
Gachibowli,2278,3,3.0,1.5,198.32
Uppal,2238,3,3.0,0.1,112.75
Uppal,1695,2,2.0,0.1,97.14
Miyapur,990,1,2.0,0.2,62.96
Uppal,2344,3,3.0,0.1,134.89
Kukatpally,1248,2,3.0,0.5,93.74
Ameerpet,3086,4,4.0,0.0,229.41
Kondapur,1412,2,2.0,2.0,135.64
Madhapur,3848,4,4.0,1.0,387.42
Uppal,1374,2,3.0,0.1,85.25
Manikonda,2700,3,3.0,4.0,174.47
Gachibowli,1059,2,2.0,1.5,93.57
Miyapur,3628,4,4.0,0.2,215.63
Ameerpet,2213,3,3.0,0.0,174.97
Ameerpet,994,1,1.0,0.0,90.27
Kondapur,3741,4,5.0,2.0,329.34
Banjara Hills,2924,4,4.0,3.0,444.64
Banjara Hills,3402,4,5.0,3.0,519.14
Manikonda,2691,3,3.0,4.0,172.45
Miyapur,3054,4,4.0,0.2,179.19
Kondapur,1420,2,2.0,2.0,132.28
Miyapur,3089,4,5.0,0.2,179.28
Madhapur,1105,2,3.0,1.0,131.01
Madhapur,1278,2,2.0,1.0,138.56
Uppal,2696,3,3.0,0.1,145.48
Ameerpet,2280,3,3.0,0.0,166.37
Uppal,1627,2,3.0,0.1,89.51
Ameerpet,2727,3,3.0,0.0,209.35
Manikonda,3741,4,5.0,4.0,230.53
Banjara Hills,2548,3,4.0,3.0,379.93
Kondapur,1348,2,2.0,2.0,118.1
Uppal,2735,3,3.0,0.1,133.42
Miyapur,1587,2,3.0,0.2,107.84
Ameerpet,837,1,2.0,0.0,80.73
Kondapur,1009,2,3.0,2.0,94.08
Manikonda,2865,4,4.0,4.0,187.35
Madhapur,1220,2,2.0,1.0,142.29
Kondapur,2313,3,3.0,2.0,219.55
Banjara Hills,3459,4,4.0,3.0,498.42
Manikonda,1740,2,3.0,4.0,110.9
Manikonda,2154,3,4.0,4.0,135.37
Miyapur,2469,3,4.0,0.2,166.82
Manikonda,3280,4,4.0,4.0,197.08
Madhapur,2369,3,3.0,1.0,256.49
Jubilee Hills,3901,4,4.0,2.5,740.57
Uppal,2217,3,3.0,0.1,121.71
Gachibowli,1054,2,3.0,1.5,105.68
Banjara Hills,2549,3,4.0,3.0,406.83
Miyapur,906,1,1.0,0.2,70.45
Manikonda,2565,3,3.0,4.0,182.42
Kukatpally,1885,3,3.0,0.5,134.91
Ameerpet,3492,4,4.0,0.0,272.2
Madhapur,2772,3,3.0,1.0,243.09
Banjara Hills,3335,4,5.0,3.0,553.5
Madhapur,1772,2,2.0,1.0,178.79
Miyapur,3734,4,4.0,0.2,207.13
Gachibowli,3554,4,5.0,1.5,315.75
Banjara Hills,2337,3,4.0,3.0,352.99
Uppal,2460,3,3.0,0.1,140.81
Ameerpet,3777,4,4.0,0.0,268.54
Manikonda,3215,4,4.0,4.0,201.38
Miyapur,3479,4,4.0,0.2,213.33
Madhapur,1510,2,3.0,1.0,161.92
Madhapur,2940,4,4.0,1.0,260.35
Gachibowli,1364,2,3.0,1.5,133.05
Ameerpet,2103,3,3.0,0.0,163.05
Madhapur,1556,2,2.0,1.0,148.03
Gachibowli,3964,4,4.0,1.5,345.29
Kukatpally,2822,4,4.0,0.5,203.38
Uppal,2340,3,4.0,0.1,126.49
Jubilee Hills,953,1,1.0,2.5,171.47
Manikonda,1533,2,2.0,4.0,99.79
Gachibowli,1585,2,2.0,1.5,151.18
Kondapur,1450,2,2.0,2.0,118.15
Manikonda,2697,3,3.0,4.0,177.89
Madhapur,3255,4,4.0,1.0,320.28
Gachibowli,1834,3,3.0,1.5,165.23
Manikonda,3619,4,5.0,4.0,222.89
Kukatpally,1860,3,3.0,0.5,130.66
Jubilee Hills,2196,3,4.0,2.5,347.3
Madhapur,3918,4,4.0,1.0,389.32
Banjara Hills,2427,3,3.0,3.0,384.63
Gachibowli,2505,3,3.0,1.5,220.11
Uppal,2253,3,4.0,0.1,119.46
Madhapur,1786,2,3.0,1.0,191.79
Kondapur,2992,4,4.0,2.0,272.36
Kukatpally,3812,4,5.0,0.5,262.96
Madhapur,3695,4,5.0,1.0,404.23
Ameerpet,2532,3,3.0,0.0,198.48
Uppal,2348,3,3.0,0.1,114.99
Kondapur,1994,3,3.0,2.0,171.12
Banjara Hills,3907,4,4.0,3.0,621.68
Gachibowli,2455,3,4.0,1.5,229.9
Ameerpet,2155,3,3.0,0.0,168.44
Jubilee Hills,2894,4,4.0,2.5,541.91
Ameerpet,956,1,2.0,0.0,82.31
Kukatpally,3086,4,4.0,0.5,210.1
Kondapur,3701,4,4.0,2.0,309.8
Ameerpet,3698,4,4.0,0.0,254.86
Kukatpally,3548,4,4.0,0.5,233.46
Ameerpet,1602,2,3.0,0.0,121.84
Gachibowli,3812,4,4.0,1.5,345.55
Ameerpet,1320,2,2.0,0.0,111.42
Gachibowli,848,1,1.0,1.5,86.24
Madhapur,2886,4,4.0,1.0,290.24
Kukatpally,3684,4,4.0,0.5,272.34
Kondapur,1718,2,2.0,2.0,164.64
Miyapur,2054,3,3.0,0.2,128.08
Miyapur,2567,3,3.0,0.2,165.09
Kukatpally,2898,4,4.0,0.5,209.19
Kukatpally,3362,4,5.0,0.5,237.51
Gachibowli,2498,3,3.0,1.5,219.3
Uppal,935,1,1.0,0.1,51.9
Madhapur,3294,4,4.0,1.0,310.65
Ameerpet,1401,2,2.0,0.0,122.26
Manikonda,2858,4,4.0,4.0,183.95
Uppal,1087,2,3.0,0.1,63.39
Banjara Hills,3268,4,5.0,3.0,463.53
Manikonda,2625,3,3.0,4.0,161.3
Miyapur,3219,4,5.0,0.2,192.94
Jubilee Hills,1645,2,3.0,2.5,292.85
Gachibowli,3801,4,4.0,1.5,337.98
Jubilee Hills,2894,4,5.0,2.5,502.47
Manikonda,3276,4,4.0,4.0,212.79
Madhapur,3089,4,5.0,1.0,284.69
Madhapur,2989,4,4.0,1.0,300.26
Ameerpet,2709,3,4.0,0.0,213.28
Ameerpet,3353,4,4.0,0.0,260.72
Ameerpet,931,1,1.0,0.0,77.34
Banjara Hills,887,1,1.0,3.0,138.85
Kondapur,2122,3,3.0,2.0,180.28
Gachibowli,3505,4,5.0,1.5,307.24
Jubilee Hills,949,1,1.0,2.5,185.95
Gachibowli,2255,3,3.0,1.5,216.99
Madhapur,1220,2,2.0,1.0,128.53
Gachibowli,3334,4,4.0,1.5,283.09
Madhapur,2603,3,3.0,1.0,261.74
Kukatpally,1423,2,2.0,0.5,111.69
Miyapur,3431,4,4.0,0.2,210.75
Uppal,864,1,1.0,0.1,57.18
Manikonda,3536,4,4.0,4.0,242.25
Jubilee Hills,2662,3,4.0,2.5,518.34
Jubilee Hills,2022,3,3.0,2.5,338.85
Kondapur,1358,2,2.0,2.0,132.73
Ameerpet,1050,2,2.0,0.0,95.67
Kukatpally,3327,4,5.0,0.5,232.51
Kukatpally,3055,4,4.0,0.5,204.85
Jubilee Hills,1022,2,2.0,2.5,197.08
Jubilee Hills,3017,4,4.0,2.5,557.73
Kukatpally,2024,3,3.0,0.5,155.43
Jubilee Hills,3313,4,4.0,2.5,553.43
Madhapur,1364,2,2.0,1.0,149.78
Gachibowli,2458,3,3.0,1.5,218.06
Banjara Hills,1403,2,3.0,3.0,231.47
Uppal,2405,3,4.0,0.1,119.02
Ameerpet,2136,3,4.0,0.0,149.8
Madhapur,3918,4,5.0,1.0,405.55
Kukatpally,3535,4,4.0,0.5,265.71
Gachibowli,1284,2,3.0,1.5,120.56
Kukatpally,2009,3,3.0,0.5,134.41
Banjara Hills,3955,4,5.0,3.0,571.81
Kukatpally,3107,4,4.0,0.5,223.44
Uppal,2363,3,3.0,0.1,127.73
Ameerpet,3834,4,4.0,0.0,281.73
Banjara Hills,1436,2,2.0,3.0,227.97
Madhapur,1835,3,3.0,1.0,193.2
Ameerpet,2694,3,4.0,0.0,202.45
Ameerpet,1092,2,3.0,0.0,99.75
Ameerpet,3615,4,5.0,0.0,273.17
Uppal,939,1,1.0,0.1,53.61
Jubilee Hills,892,1,1.0,2.5,179.62
Gachibowli,1545,2,2.0,1.5,143.61
Madhapur,1753,2,2.0,1.0,182.61
Ameerpet,2020,3,4.0,0.0,160.86
Banjara Hills,1309,2,2.0,3.0,206.79
Gachibowli,2267,3,3.0,1.5,215.27
Banjara Hills,850,1,1.0,3.0,142.93
Uppal,2645,3,3.0,0.1,134.21
Kukatpally,2877,4,4.0,0.5,195.69
Kukatpally,1879,3,3.0,0.5,139.62
Banjara Hills,3878,4,5.0,3.0,558.88
Gachibowli,3165,4,4.0,1.5,280.67
Gachibowli,3105,4,5.0,1.5,291.34
Banjara Hills,3925,4,5.0,3.0,566.02
Kukatpally,3697,4,5.0,0.5,271.35
Ameerpet,2745,3,4.0,0.0,231.8
Madhapur,3698,4,4.0,1.0,385.82
Manikonda,3209,4,5.0,4.0,199.72
Gachibowli,3627,4,4.0,1.5,318.93
Jubilee Hills,1304,2,3.0,2.5,264.88
Kukatpally,1644,2,3.0,0.5,114.2
Manikonda,2573,3,3.0,4.0,162.31
Uppal,3197,4,5.0,0.1,171.65
Uppal,2090,3,3.0,0.1,109.46
Jubilee Hills,3512,4,4.0,2.5,626.19
Manikonda,916,1,1.0,4.0,64.36
Kondapur,3849,4,5.0,2.0,310.93
Madhapur,3216,4,4.0,1.0,321.76
Ameerpet,2658,3,3.0,0.0,199.72
Madhapur,2337,3,4.0,1.0,228.71
Kukatpally,2959,4,4.0,0.5,186.1
Miyapur,2897,4,4.0,0.2,173.74
Kondapur,2904,4,4.0,2.0,229.28
Kukatpally,2124,3,3.0,0.5,142.3
Manikonda,2548,3,4.0,4.0,157.86
Ameerpet,1142,2,2.0,0.0,91.4
Kondapur,969,1,1.0,2.0,91.68
Manikonda,3515,4,4.0,4.0,241.42
Manikonda,937,1,1.0,4.0,63.35
Uppal,3711,4,4.0,0.1,175.82
Kondapur,3253,4,4.0,2.0,287.3
Ameerpet,1230,2,2.0,0.0,102.73
Kukatpally,2286,3,4.0,0.5,150.39
Banjara Hills,2403,3,3.0,3.0,373.95
Jubilee Hills,3439,4,4.0,2.5,642.27
Banjara Hills,2677,3,3.0,3.0,424.37
Madhapur,827,1,1.0,1.0,87.55
Kondapur,3011,4,5.0,2.0,245.25
Gachibowli,3664,4,5.0,1.5,326.73
Uppal,1249,2,2.0,0.1,66.09
Banjara Hills,3740,4,4.0,3.0,604.0
Madhapur,2766,3,3.0,1.0,259.21
Ameerpet,2702,3,4.0,0.0,188.6
Banjara Hills,2359,3,3.0,3.0,348.59
Kukatpally,1177,2,2.0,0.5,92.15
Jubilee Hills,1482,2,2.0,2.5,278.96
Ameerpet,3979,4,4.0,0.0,255.63
Miyapur,3175,4,5.0,0.2,211.76
Gachibowli,2978,4,4.0,1.5,265.95
Jubilee Hills,2561,3,4.0,2.5,448.89
Gachibowli,1228,2,3.0,1.5,114.32
Ameerpet,1163,2,3.0,0.0,102.09
Kukatpally,1399,2,2.0,0.5,109.45
Madhapur,1009,2,3.0,1.0,119.34
Gachibowli,3226,4,4.0,1.5,286.77
Miyapur,2519,3,4.0,0.2,146.83
Kukatpally,1799,2,3.0,0.5,133.04
Manikonda,3924,4,4.0,4.0,236.53
Jubilee Hills,2098,3,3.0,2.5,425.64
Manikonda,2614,3,3.0,4.0,165.08
Banjara Hills,1374,2,2.0,3.0,209.27
Banjara Hills,1997,3,3.0,3.0,339.16
Kukatpally,1469,2,2.0,0.5,121.3
Uppal,2799,3,3.0,0.1,141.47
Madhapur,3002,4,4.0,1.0,310.23
Banjara Hills,1804,3,4.0,3.0,287.18
Madhapur,3133,4,4.0,1.0,313.13
Madhapur,1958,3,3.0,1.0,199.24
Banjara Hills,3897,4,4.0,3.0,581.81
Miyapur,1977,3,3.0,0.2,133.98
Kondapur,3228,4,4.0,2.0,255.82
Jubilee Hills,1616,2,3.0,2.5,303.22
Jubilee Hills,2803,4,5.0,2.5,529.72
Jubilee Hills,3670,4,4.0,2.5,721.6
Ameerpet,3459,4,4.0,0.0,257.26
Kukatpally,2827,4,5.0,0.5,198.25
Miyapur,1434,2,2.0,0.2,92.93
Madhapur,2220,3,3.0,1.0,239.42
Banjara Hills,1291,2,3.0,3.0,209.47
Kondapur,3975,4,4.0,2.0,323.39
Uppal,2508,3,3.0,0.1,124.57
Kondapur,1498,2,2.0,2.0,133.43
Kukatpally,1873,3,4.0,0.5,134.01
Banjara Hills,864,1,1.0,3.0,145.57
Kondapur,1241,2,2.0,2.0,107.26
Kondapur,3473,4,4.0,2.0,282.29
Kukatpally,3117,4,4.0,0.5,228.84
Kondapur,1723,2,2.0,2.0,156.7
Banjara Hills,3540,4,4.0,3.0,546.34
Kondapur,2640,3,4.0,2.0,226.91
Miyapur,3439,4,4.0,0.2,225.79
Kondapur,2222,3,4.0,2.0,194.92
Uppal,3453,4,4.0,0.1,163.64
Kondapur,3871,4,4.0,2.0,334.49
Kondapur,3702,4,5.0,2.0,321.35
Ameerpet,2223,3,4.0,0.0,181.01
Jubilee Hills,2325,3,3.0,2.5,454.89
Kondapur,3687,4,4.0,2.0,300.96
Gachibowli,1668,2,2.0,1.5,152.68
Kondapur,1479,2,3.0,2.0,119.07
Uppal,2172,3,4.0,0.1,110.73
Kondapur,1994,3,3.0,2.0,160.63
Jubilee Hills,2094,3,3.0,2.5,385.07
Gachibowli,1873,3,4.0,1.5,162.37
Kondapur,1109,2,2.0,2.0,106.52
Miyapur,2053,3,3.0,0.2,117.2
Kondapur,879,1,1.0,2.0,80.93
Manikonda,1467,2,3.0,4.0,94.23
Kondapur,2608,3,3.0,2.0,220.73
Manikonda,3764,4,4.0,4.0,237.54
Kukatpally,2351,3,3.0,0.5,163.37
Gachibowli,3930,4,4.0,1.5,347.05
Banjara Hills,3947,4,4.0,3.0,606.71
Kukatpally,3452,4,4.0,0.5,234.78
Jubilee Hills,2318,3,3.0,2.5,466.47
Kukatpally,3322,4,4.0,0.5,220.45
Gachibowli,3837,4,4.0,1.5,354.01
Uppal,849,1,1.0,0.1,52.62
Manikonda,2001,3,4.0,4.0,126.73
Banjara Hills,3232,4,5.0,3.0,441.24
Ameerpet,2341,3,3.0,0.0,186.75
Jubilee Hills,2267,3,3.0,2.5,432.6
Ameerpet,1204,2,3.0,0.0,112.52
Manikonda,2838,4,4.0,4.0,173.09
Banjara Hills,903,1,1.0,3.0,149.87
Banjara Hills,2591,3,3.0,3.0,375.28
Miyapur,3768,4,5.0,0.2,223.51
Jubilee Hills,1966,3,3.0,2.5,338.7
Gachibowli,1631,2,2.0,1.5,141.07
Kondapur,3867,4,4.0,2.0,320.86
Madhapur,2764,3,3.0,1.0,245.4
Jubilee Hills,3985,4,4.0,2.5,730.25
Ameerpet,1856,3,4.0,0.0,139.61
Miyapur,956,1,1.0,0.2,71.73
Kondapur,1424,2,2.0,2.0,125.66
Kukatpally,1866,3,4.0,0.5,130.09
Ameerpet,3955,4,4.0,0.0,265.35
Kondapur,2795,3,3.0,2.0,254.24
Ameerpet,2152,3,3.0,0.0,173.94
Gachibowli,3727,4,5.0,1.5,330.36
Kondapur,2335,3,4.0,2.0,202.92
Ameerpet,1724,2,2.0,0.0,133.64
Ameerpet,807,1,2.0,0.0,76.24
Kukatpally,2998,4,4.0,0.5,215.07
Uppal,3322,4,4.0,0.1,162.62
Uppal,1041,2,2.0,0.1,59.82
Kondapur,2926,4,4.0,2.0,255.24
Jubilee Hills,2101,3,3.0,2.5,417.43
Kondapur,3407,4,4.0,2.0,281.99
